"Nome società";"Nome del brand di consulenza ESG";"Sede 1";"Sede 2";"Sede 3";"Sito web";"Email";"Telefono";"Anno fondazione";"Anno di inizio dell'attività di consulenza Esg";"Fascia fatturato complessivo della società in Italia";"Fatturato derivante da attività di consulenza e servizi Esg svolti in Italia";"Cliente 1";"Cliente 2";"Cliente 3";"Cliente 4";"Cliente 5";"Progetto Esg particolarmente significativo portato a termine da un vostro cliente nel 2024";"Indicare le particolarità della società/brand nella consulenza Esg";"Fascia numero complessivo dipendenti, e collaboratori se presenti, nella/e sede/i della società in Italia";"Fascia numero dipendenti, e collaboratori se presenti, nella/e sede/i della società in Italia che svolgono attività in ambito Esg";"Purpose";"La società rendiconta le informazioni sui fattori ESG?";"Servizio 1";"Servizio 2";"Servizio 3";"Servizio 4";"Servizio 5";"Servizio 6";"Servizio 7";"Servizio 8";"Servizio 9";"Servizio 10";"Servizio 11";"Servizio 12";"Servizio 13";"Servizio 14";"Servizio 15";"Servizio 16";"Servizio 17";"Servizio 18";"Servizio 19";"Servizio 20";"Servizio 21";"Servizio 22";"Servizio 23";"Servizio 24";"Servizio 25";"Servizio 26";"Servizio 27";"Servizio 28"
"Pippo11";"Topolino 11";"Via, Milano 11";;;"www.eticanews.it";"info@eticanews.it";"+39 123466";2017;;"Compreso tra 500.000 € e 2.000.000 €";"Compreso tra 1.000.000 € e 2.500.000 €";;;;;;;"Spin Life, spin-off del Dipartimento di Ingegneria Civile, Edile e Ambientale di UNIPD, si impegna a supportare le scelte strategiche di organizzazioni pubbliche e private offrendo soluzioni basate sull’approccio scientifico e sull’utilizzo di strumenti con valore acclarato. Promuove l'adozione di un approccio concreto e integrato, spaziando dalla misurazione degli impatti, ai sistemi di gestione, alla reportistica ESG, per supportare scientificamente la transizione ecologica e sociale.";"10 a 50";"10 a 50";;"Non vi è rendicontazione sui fattori ESG";;"Carbon footprint & neutrality";;;;;"Compliance";;"Esg Data Management";;;;;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;
"Pippo12";"Topolino 12";"Via, Milano 12";;;"www.eticanews.it";"info@eticanews.it";"+39 123467";2005;2019;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;"Prima rendicontazione di sostenibilità secondo gli standard EFRAG CSRD";"Profonda conoscenza delle dinamiche delle PMI: i nostri consulenti vengono tutti dal mondo delle imprese e sanno coniugare la sostenibilità ESg con quella economica delle PMI";"2 a 10";"2 a 10";"Aiutiamo le imprese a usare nuovi occhi per tracciare nuove strade";"Non vi è rendicontazione sui fattori ESG";;;;;;"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";;"Efficientamento energetico";"Governance Esg";"HR & formazione";;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo13";"Topolino 13";"Via, Milano 13";;;"www.eticanews.it";"info@eticanews.it";"+39 123468";2023;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;"Bilancio di sostenibilità compliance con ESRS VSME e matrice di doppia materialità";"HumanWE fornisce un software innovativo che guida le imprese nella redazione del bilancio di sostenibilità. Alla fornitura dello strumento è accompagnata da una qualificata consulenza sui contenuti ESG, CSRD, ESRS,.";"2 a 10";"2 a 10";;"Le informazioni in materia di ESG sono contenute nel bilancio annuale dell’azienda";;;;;;;"Compliance";;"Esg Data Management";;;;;;;;;"Rendicontazione & reporting";;;"Stakeholder engagement";;;;;;;
"Pippo14";"Topolino 14";"Via, Milano 14";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123469";2022;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;"Azienda di grandi manutenzioni industriali. Sistema di gestione della sostenibilità ispirato alla linea guida ISO 26000 e perfettamente integrato nel più ampio sistema di gestione aziendale, affrontando gli ambiti: ambiente, sicurezza, energia, prevenzione corruzione, parità di genere, compliance 231.";"Integra ESG Partner Network è alleata ad ASviS, l'alleanza italiana per lo sviluppo sostenibile; è Service Provider di Open-es, la piattaforma digitale italiana per la sostenibilità e la competitività. Ha una missione: fornire a Clienti privati e pubblici consulenza e assistenza per un eccellente rating di sostenibilità, con servizi relativi a qualità e sistemi di gestione integrati, energia, ambiente, salute-sicurezza, privacy&data-protection, anti-corruzione, compliance in detti ambiti.";"2 a 10";"2 a 10";"Integra ESG Partner Network ha una missione: fornire a clienti privati e pubblici consulenza e assistenza per un eccellente rating di sostenibilità";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;;;;"Compliance";"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";;;"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;"Sistemi Gestione Sostenibilità"
"Pippo15";;"Via, Milano 15";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123470";2018;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";"CUBO Teatro";"Cooperativa Sociale Lindbergh";"FORESTAE";"Comune di Genova";"Liguria 2030";"Percorso di analisi e miglioramento Spazio e attività di aggregazione, ristorazione e inclusione sociale. Attività di Business Process Redesign, Valutazione impatto ambientale e sociale, Stakeholder engagement e co-progettazione per l'implementazione di azioni strategiche ESG.";"Affianchiamo e aiutiamo Aziende, Organizzazioni, Pubbliche Amministrazioni e Start-up a strutturarsi, crescere e migliorare attraverso la progettazione partecipata, il management sostenibile e l’innovazione sistemica.

In particolare di occupiamo di: 
Attività di coinvolgimento attivo e progettazione partecipata, Analisi e valutazione impatto ambientale e sociale, Percorsi di sviluppo territoriale e sociale, Supporto a sviluppo di partenariati per bandi e progettazioni.";"2 a 10";"2 a 10";;"Non vi è rendicontazione sui fattori ESG";;;;"Comunicazione";;;;;;;"Governance Esg";"HR & formazione";;;;;;"Rendicontazione & reporting";;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;"Valutazione impatto sociale"
"Pippo16";"Topolino 16";"Via, Milano 16";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123471";2012;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;"Per una nota azienda del settore industriale lombardo, ci siamo occupati del calcolo dell'inventario dei gas serra, includendo emissioni dirette e indirette, Ambiti 1, 2 e 3. Essendo un'azienda del settore industriale, è stato sfidante raccogliere dati primari con grandi complessità strutturali.";"Dal 2012 uniamo professionisti che mettono le proprie competenze e le proprie esperienze a disposizione delle aziende per affrontare la transizione verso l’industria 5.0.


Accompagniamo le organizzazioni e le imprese attraverso percorsi di formazione personalizzata finalizzata a conoscere e poi attuare la decarbonizzazione, la sostenibilità aziendale e la mobilità sostenibile.

Organizziamo giornate di Team Building nei boschi di nostra proprietà e in altre aree boschive.";"2 a 10";"2 a 10";"Competenze come Sostenibilità aziendale, Agronomia Forestale, Economia e Comunicazione che si riuniscono in un team di professionisti che vuole concorrere al raggiungimento degli obiettivi fissati nell’Accordo di Parigi.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;;;;;;;;;;;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;;"Strategia (piani, obiettivi, azioni)";;;;;;"Compensazione"
"Pippo17";"Topolino 17";"Via, Milano 17";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123472";2019;;"Compreso tra 5.000.000 € e 10.000.000 €";"Compreso tra 2.500.000 € e 5.000.000 €";"Ferrovie dello Stato";"Magneti Marelli";"Prysmian";"ERG";"Marie Tecnimont";"ESG DIgital Governance del gruppo IVECO";"Implementazione ed automazione della governance dei dati ESG. L'approccio è molto concreto e finalizzato a ridurre i rischi di errori e di errata comunicazione al mercato.  ";"50 a 100";"10 a 50";"Il Purpose di ESgeo è quello di dotare le aziende degli strumenti per una governance degli Impatti ESG e ottenere un vantaggio strategico attraverso pratiche sostenibili, attraverso l'uso di tecnologie.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";"Investor relation";"Life Cycle Assessment";"Procurement";;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;"Waste management";"Water management";"Rischio legale e reputazionale ESG "
"Pippo18";"Topolino 18";"Via, Milano 18";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123473";2021;2024;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"Un percorso strutturato: 1 valutazione iniziale; 2 definizione di strategie personalizzate; 3 monitoraggio costante.
UNICITÀ DEL SERVIZIO
Rating ESG Aggiornato: Valutazione periodica delle performance ESG
Strategie Personalizzate: Definizione di strategie ESG ad hoc
Gestione Rischi e Opportunità: Identificazione rischi e opportunità
Bilancio di Sostenibilità: Rendicontazione e comunicazione dell'impegno aziendale
Formazione Mirata:  per coinvolgere i dipendenti nel percorso ESG";"2 a 10";"2 a 10";"Una community di professionisti altamente qualificati e dalle competenze multi settoriali, fortemente orientata a comprendere le necessità e i bisogni delle aziende sotto ogni aspetto. ";"Le informazioni in materia di ESG sono contenute in un report di sostenibilità non periodico";"Asseverazione bilanci di sostenibilità";;;"Comunicazione";"Consulenza Finanziaria";;"Compliance";;;;;"HR & formazione";;;;"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";;;;;;
"Pippo19";;"Via, Milano 19";;;"www.eticanews.it";"info@eticanews.it";"+39 123474";2010;;"Inferiore a 500.000 €";"Inferiore a 250.000 €";;;;;;;"Visione integrata al business success, seniority nel client management, focalizzazione ventennale e verticali sui temi ESG";;;"Creare strategie di visibilità e reputazione mettendo al centro il valore d’impresa e la ESG identity unendo i fondamentali delle PR e delle media relations alla logica del funnel marketing";"Non vi è rendicontazione sui fattori ESG";;;;"Comunicazione";;;;;;;;;;;;;;;;;"Stakeholder engagement";;;;;;;
"Pippo20";;"Via, Milano 20";"Piazza, Firenze 1";"Lugomare, Napoli 1";"www.eticanews.it";"info@eticanews.it";"+39 123475";2015;;"Inferiore a 500.000 €";"Compreso tra 250.000 € e 1.000.000 €";"Harley & Dikkinson";"City Green Light";"ISAP";"Rebrain";"Agro Green Credit";"Primo Program Operator in Italia per la generazione di Carbon Credits nei settori della Forestazione, Gestione Forestale, Servizi Ecosistemici, Biodiversità, Carbon Farming ed Efficienza Energetica con eCO2®: l’unica piattaforma in modalità SaaS che permette alle aziende di raggiungere gli obiettivi ESG, assolvendo alla compliance (CSRD, SFDR)";"ecosostenibile.eu® Benefit Company è la startup innovativa ESGtech che accelera la transizione verso una low-carbon & high-circular economy realizzando eCO2®:  l’unica piattaforma in modalità SaaS che permette alle aziende di raggiungere gli obiettivi ESG, assolvendo alla compliance (IE CSRD, SFDR), misurando la sostenibilità (IE CarbonFootprint, CarbonCredits,  CircularEconomy), con un approccio ALL-IN-1 tramite gateway API ed ha a disposizione un BigData da 12000 DataPoint/anno per cliente.";"10 a 50";"10 a 50";"In ecososte.eu uniamo innovazione e sostenibilità per creare soluzioni a basso impatto ambientale, promuovere equità sociale e garantire una governance etica. Vogliamo dimostrare che crescita e responsabilità possono coesistere per un futuro migliore";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";"Asseverazione bilanci di sostenibilità";"Carbon footprint & neutrality";"Certificazione/asseverazione";"Comunicazione";"Consulenza Finanziaria";"Consulenza su società benefit";"Compliance";"Diversity & Inclusion policy";"Esg Data Management";"Efficientamento energetico";"Governance Esg";"HR & formazione";"Investor relation";"Life Cycle Assessment";"Procurement";"Rating di sostenibilità e Esg (emissione)";"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";"Risk management";"Shareholder engagement";"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";"Sviluppo di tool, applicativi, software per la raccolta, gestione, monitoraggio dati Esg";;"Waste management";"Water management";"SaaS plarform"
"Pippo21";"Topolino 21";"Via, Milano 21";"Piazza, Firenze 1";;"www.eticanews.it";"info@eticanews.it";"+39 123476";1984;;"Superiore a 10.000.000 €";"Compreso tra 250.000 € e 1.000.000 €";"HERA";"Tramvia Firenze";"CY4Gate";"Italgas";"Sogin";"Studio LCA e registrazione EPD prodotti";"""La sostenibilità deve essere concreta ed organizzata” 
Il nostro approccio alla sostenibilità va oltre il mero reporting e non si esaurisce nell’applicazione dei soli criteri ESG: questi sono sicuramente strumenti utili, ma
non sempre efficaci nel descrivere pienamente il percorso di sostenibilità di un’organizzazione. Il nostro approccio alla sostenibilità si fonda su un’analisi ad hoc delle singole aziende.";"100 a 500";"2 a 10";"Trasformare l’attenzione per l’ambiente in nuove opportunità di sviluppo e in vantaggio competitivo per le aziende nostre clienti.";"Le informazioni in materia di ESG sono contenute nel bilancio di sostenibilità annuale dell’azienda";;"Carbon footprint & neutrality";;"Comunicazione";;"Consulenza su società benefit";"Compliance";;;"Efficientamento energetico";"Governance Esg";"HR & formazione";;"Life Cycle Assessment";;;"Rating di sostenibilità e Esg (supporto)";"Rendicontazione & reporting";;;"Stakeholder engagement";"Strategia (piani, obiettivi, azioni)";"Supply chain analysis & management";;;;;"Sistemi di gestione"
